[19:24]: Trainer.yml not found, starting without pre-trained recognizer
[19:24]: Trainer.yml not found, starting without pre-trained recognizer
[19:25]: Trainer.yml not found, starting without pre-trained recognizer
[19:25]: Trainer.yml not found, starting without pre-trained recognizer
[19:25]: Trainer.yml not found, starting without pre-trained recognizer
[19:25]: Trainer.yml not found, starting without pre-trained recognizer
[19:25]: Motion Detected
[19:25]: Motion Detected
[19:26]: Motion Detected
[19:26]: Motion Detected
[19:27]: Motion Detected
[19:27]: Motion Detected
[19:27]: Motion Detected
[19:27]: Motion Detected
[19:28]: Motion Detected
[19:28]: Motion Detected
[19:28]: Motion Detected
[19:28]: Motion Detected
[19:29]: Motion Detected
[19:29]: Motion Detected
[19:29]: Motion Detected
[19:30]: Motion Detected
[19:30]: Motion Detected
[19:30]: Motion Detected
[19:31]: Motion Detected
[19:31]: Motion Detected
[19:31]: Motion Detected
[19:31]: Motion Detected
[19:31]: Motion Detected
[19:32]: Motion Detected
[19:32]: Trainer.yml not found, starting without pre-trained recognizer
[19:32]: Trainer.yml not found, starting without pre-trained recognizer
[19:32]: Motion Detected
[19:33]: Motion Detected
[19:33]: Motion Detected
[19:33]: Motion Detected
[19:33]: Motion Detected
[19:33]: Motion Detected
[19:33]: Motion Detected
[19:34]: Motion Detected
[19:34]: Motion Detected
[19:36]: Motion Detected
[19:36]: Motion Detected
[19:36]: Motion Detected
[19:37]: Motion Detected
[19:37]: Motion Detected
[19:37]: Motion Detected
[19:37]: Motion Detected
[19:37]: Motion Detected
[19:37]: Motion Detected
[19:38]: Motion Detected
[19:38]: Motion Detected
[19:39]: Trainer.yml not found, starting without pre-trained recognizer
[19:39]: Trainer.yml not found, starting without pre-trained recognizer
[19:39]: Motion Detected
[19:39]: Motion Detected
[19:39]: Motion Detected
[19:39]: Motion Detected
[19:39]: Motion Detected
[19:40]: Motion Detected
[19:40]: Motion Detected
[19:40]: Motion Detected
[19:40]: Motion Detected
[19:40]: Motion Detected
[19:41]: Motion Detected
[19:41]: Motion Detected
[19:41]: Motion Detected
[19:41]: Motion Detected
[19:41]: Motion Detected
[19:41]: Motion Detected
[19:42]: Motion Detected
[19:45]: Trainer.yml not found, starting without pre-trained recognizer
[19:45]: Trainer.yml not found, starting without pre-trained recognizer
[19:45]: Motion Detected
[19:45]: Motion Detected
[19:45]: Collected image: datasets\User.1.1.jpg
[19:45]: Collected image: datasets\User.1.2.jpg
[19:45]: Collected image: datasets\User.1.3.jpg
[19:45]: Collected image: datasets\User.1.4.jpg
[19:45]: Collected image: datasets\User.1.5.jpg
[19:45]: Collected image: datasets\User.1.6.jpg
[19:45]: Collected image: datasets\User.1.7.jpg
[19:45]: Collected image: datasets\User.1.8.jpg
[19:45]: Collected image: datasets\User.1.9.jpg
[19:45]: Collected image: datasets\User.1.10.jpg
[19:45]: Collected image: datasets\User.1.11.jpg
[19:45]: Collected image: datasets\User.1.12.jpg
[19:45]: Collected image: datasets\User.1.13.jpg
[19:45]: Collected image: datasets\User.1.14.jpg
[19:45]: Collected image: datasets\User.1.15.jpg
[19:45]: Collected image: datasets\User.1.16.jpg
[19:45]: Collected image: datasets\User.1.17.jpg
[19:45]: Collected image: datasets\User.1.18.jpg
[19:45]: Collected image: datasets\User.1.19.jpg
[19:45]: Collected image: datasets\User.1.20.jpg
[19:45]: Collected image: datasets\User.1.21.jpg
[19:45]: Collected image: datasets\User.1.22.jpg
[19:45]: Collected image: datasets\User.1.23.jpg
[19:45]: Collected image: datasets\User.1.24.jpg
[19:45]: Motion Detected
[19:45]: Collected image: datasets\User.1.25.jpg
[19:45]: Collected image: datasets\User.1.26.jpg
[19:45]: Collected image: datasets\User.1.27.jpg
[19:45]: Collected image: datasets\User.1.28.jpg
[19:45]: Collected image: datasets\User.1.29.jpg
[19:45]: Collected image: datasets\User.1.30.jpg
[19:45]: Collected image: datasets\User.1.31.jpg
[19:45]: Collected image: datasets\User.1.32.jpg
[19:45]: Collected image: datasets\User.1.33.jpg
[19:45]: Collected image: datasets\User.1.34.jpg
[19:45]: Collected image: datasets\User.1.35.jpg
[19:45]: Collected image: datasets\User.1.36.jpg
[19:45]: Collected image: datasets\User.1.37.jpg
[19:45]: Collected image: datasets\User.1.38.jpg
[19:45]: Collected image: datasets\User.1.39.jpg
[19:45]: Collected image: datasets\User.1.40.jpg
[19:45]: Collected image: datasets\User.1.41.jpg
[19:45]: Collected image: datasets\User.1.42.jpg
[19:45]: Collected image: datasets\User.1.43.jpg
[19:45]: Collected image: datasets\User.1.44.jpg
[19:45]: Collected image: datasets\User.1.45.jpg
[19:45]: Collected image: datasets\User.1.46.jpg
